Customer	FullySpecifiedSubject	true
John Doe	FullySpecifiedSubject	true
HR Department	FullySpecifiedSubject	true
ACME Inc.	FullySpecifiedSubject	true
Robot Arm 42	FullySpecifiedSubject	true
Customer Service Team	FullySpecifiedSubject	true
Marketing & Sales	FullySpecifiedSubject	true
Finance Dept.	FullySpecifiedSubject	true
Supplier X GmbH	FullySpecifiedSubject	true
Warehouse Automation System	FullySpecifiedSubject	true
Delivery Drone #5	FullySpecifiedSubject	true
Legal Entity "Alpha Corp"	FullySpecifiedSubject	true
Production Line 3	FullySpecifiedSubject	true
Backend Server 12	FullySpecifiedSubject	true
Manufacturing Unit A	FullySpecifiedSubject	true
IT Support Desk	FullySpecifiedSubject	true
Self-Checkout Terminal 9	FullySpecifiedSubject	true
Sales Representative	FullySpecifiedSubject	true
Logistics Partner Z	FullySpecifiedSubject	true
Client Relationship Manager	FullySpecifiedSubject	true
Assembly Robot XZ-99	FullySpecifiedSubject	true
Retail Store #24	FullySpecifiedSubject	true
Regional Office - West	FullySpecifiedSubject	true
Online Payment Gateway	FullySpecifiedSubject	true
Automated Packing Machine	FullySpecifiedSubject	true
Customer Support Department	FullySpecifiedSubject	true
Payment System	FullySpecifiedSubject	true
HR Team	FullySpecifiedSubject	true
Accounting Department	FullySpecifiedSubject	true
Order Processing System	FullySpecifiedSubject	true
Production Line	FullySpecifiedSubject	true
Factory A	FullySpecifiedSubject	true
Supplier XYZ	FullySpecifiedSubject	true
Person	FullySpecifiedSubject	false
Machine	FullySpecifiedSubject	false
Department	FullySpecifiedSubject	false
Company	FullySpecifiedSubject	false
Automation	FullySpecifiedSubject	false
Server	FullySpecifiedSubject	false
Client	FullySpecifiedSubject	false
System	FullySpecifiedSubject	false
User	FullySpecifiedSubject	false
Employee	FullySpecifiedSubject	false
Marketing	FullySpecifiedSubject	false
Customer Support	FullySpecifiedSubject	false
Production	FullySpecifiedSubject	false
Vendor	FullySpecifiedSubject	false
Manager	FullySpecifiedSubject	false
Database	FullySpecifiedSubject	false
AI Model	FullySpecifiedSubject	false
12345	FullySpecifiedSubject	false
!InvalidName	FullySpecifiedSubject	false
Name_Without_Space	FullySpecifiedSubject	false
Company123	FullySpecifiedSubject	false
Server-1	FullySpecifiedSubject	false
Device#42	FullySpecifiedSubject	false
Unnamed Entity	FullySpecifiedSubject	false
Unspecified Subject	FullySpecifiedSubject	false
Generic Actor	FullySpecifiedSubject	false
Data Processor	FullySpecifiedSubject	false
Automated System	FullySpecifiedSubject	false
Workflow Engine	FullySpecifiedSubject	false
Worker	FullySpecifiedSubject	false
Subsystem A	FullySpecifiedSubject	false
Corporate Entity	FullySpecifiedSubject	false
Machine Learning Model	FullySpecifiedSubject	false
Unknown Process	FullySpecifiedSubject	false
Employee #999	FullySpecifiedSubject	false
AI Assistant	FullySpecifiedSubject	false
Retail Unit	FullySpecifiedSubject	false
Approval Process	FullySpecifiedSubject	false
Submit Document	FullySpecifiedSubject	false
Processing	FullySpecifiedSubject	false
Verify Information	FullySpecifiedSubject	false
